Writing /data/openpilot/aeb_boot_watch/xnor_aeb_boot_watch_20251125_181641.jsonl
Writing /data/openpilot/aeb_boot_watch/xnor_aeb_boot_watch_20251125_181641.txt
# xnor AEB boot watch
jsonl: /data/openpilot/aeb_boot_watch/xnor_aeb_boot_watch_20251125_181641.jsonl
duration_s: 240.0
total_can_frames: 6008
unique_src_addr: 490

Top CAN addresses by count:
  src=4 addr=0x102 count=227 changes=213 unique=100 last=f48dffff0000fc1f
  src=6 addr=0x102 count=227 changes=213 unique=100 last=f48dffff0000fc1f
  src=4 addr=0x288 count=119 changes=1 unique=1 last=0000fc7f00
  src=6 addr=0x288 count=119 changes=1 unique=1 last=0000fc7f00
  src=4 addr=0x298 count=119 changes=1 unique=1 last=0000fc7f00
  src=6 addr=0x298 count=119 changes=1 unique=1 last=0000fc7f00
  src=2 addr=0x488 count=84 changes=84 unique=19 last=1fff03ad
  src=0 addr=0x488 count=84 changes=84 unique=19 last=1fff03ad
  src=2 addr=0x309 count=57 changes=57 unique=5 last=01ff0ff883ff0700
  src=0 addr=0x309 count=57 changes=57 unique=5 last=01ff0ff883ff0700
  src=2 addr=0x27E count=48 changes=4 unique=4 last=000000001b180000
  src=0 addr=0x27E count=48 changes=4 unique=4 last=000000001b180000
  src=2 addr=0x2B9 count=44 changes=44 unique=11 last=fffffc4ffdff7f7f
  src=0 addr=0x2B9 count=44 changes=44 unique=11 last=fffffc4ffdff7f7f
  src=4 addr=0x2BF count=44 changes=44 unique=11 last=fffffc4ffdff9f9f
  src=6 addr=0x2BF count=44 changes=44 unique=11 last=fffffc4ffdff9f9f
  src=2 addr=0x3FA count=43 changes=43 unique=16 last=000000700000be2b
  src=0 addr=0x3FA count=43 changes=43 unique=16 last=000000700000be2b
  src=2 addr=0x219 count=43 changes=43 unique=16 last=0a0025
  src=0 addr=0x219 count=43 changes=43 unique=16 last=0a0025
  src=4 addr=0x2C8 count=24 changes=24 unique=16 last=6c8c03ff2f38507b
  src=6 addr=0x2C8 count=24 changes=24 unique=16 last=6c8c03ff2f38507b
  src=4 addr=0x358 count=24 changes=2 unique=2 last=d808100000503c23
  src=6 addr=0x358 count=24 changes=2 unique=2 last=d808100000503c23
  src=2 addr=0x128 count=24 changes=1 unique=1 last=0300ffff
  src=0 addr=0x128 count=24 changes=1 unique=1 last=0300ffff
