Writing /data/openpilot/aeb_boot_watch/xnor_aeb_boot_watch_20251125_181639.jsonl
Writing /data/openpilot/aeb_boot_watch/xnor_aeb_boot_watch_20251125_181639.txt
# xnor AEB boot watch
jsonl: /data/openpilot/aeb_boot_watch/xnor_aeb_boot_watch_20251125_181639.jsonl
duration_s: 240.0
total_can_frames: 671924
unique_src_addr: 634

Top CAN addresses by count:
  src=4 addr=0x102 count=19836 changes=19283 unique=899 last=cf91fbfffcfffc1f
  src=6 addr=0x102 count=19836 changes=19283 unique=899 last=cf91fbfffcfffc1f
  src=0 addr=0x488 count=9925 changes=9925 unique=16 last=3fa60c7d
  src=2 addr=0x488 count=9925 changes=9925 unique=16 last=3fa60c7d
  src=4 addr=0x288 count=9918 changes=1 unique=1 last=0000fc7f00
  src=6 addr=0x288 count=9918 changes=1 unique=1 last=0000fc7f00
  src=4 addr=0x298 count=9917 changes=1 unique=1 last=0000fc7f00
  src=6 addr=0x298 count=9917 changes=1 unique=1 last=0000fc7f00
  src=0 addr=0x309 count=6631 changes=1 unique=1 last=00ff0ff883ff0700
  src=2 addr=0x309 count=6630 changes=1 unique=1 last=00ff0ff883ff0700
  src=2 addr=0x3FA count=4963 changes=4963 unique=32 last=a63f00000000f1d3
  src=0 addr=0x3FA count=4962 changes=4962 unique=32 last=a63f00000000f1d3
  src=2 addr=0x2B9 count=4962 changes=4962 unique=8 last=0000529f79eb3a4a
  src=0 addr=0x2B9 count=4961 changes=4961 unique=8 last=0000529f79eb3a4a
  src=4 addr=0x2BF count=4959 changes=4959 unique=8 last=0000529f79eb5a6a
  src=6 addr=0x2BF count=4959 changes=4959 unique=8 last=0000529f79eb5a6a
  src=2 addr=0x219 count=4958 changes=4958 unique=16 last=0e0029
  src=0 addr=0x219 count=4957 changes=4957 unique=16 last=0e0029
  src=0 addr=0x409 count=3971 changes=1 unique=1 last=20
  src=2 addr=0x27E count=3970 changes=1 unique=1 last=000000001b000000
  src=0 addr=0x27E count=3970 changes=1 unique=1 last=000000001b000000
  src=2 addr=0x409 count=3970 changes=1 unique=1 last=20
  src=0 addr=0x101 count=1986 changes=1986 unique=15 last=01d7da
  src=0 addr=0x239 count=1986 changes=1986 unique=1832 last=000f7172ff7df020
  src=0 addr=0x20C count=1986 changes=517 unique=2 last=02008a0100000000
  src=0 addr=0x70C count=1986 changes=90 unique=2 last=0202002f00000000
  src=0 addr=0x228 count=1986 changes=1986 unique=16 last=a0ca
  src=0 addr=0x348 count=1986 changes=1986 unique=16 last=c052000000000461
  src=0 addr=0x249 count=1986 changes=1 unique=1 last=0000010f9f000001
  src=0 addr=0x259 count=1986 changes=1986 unique=16 last=d300000810005096
  src=2 addr=0x168 count=1986 changes=1 unique=1 last=e07f7000ffffff
  src=2 addr=0x408 count=1986 changes=397 unique=2 last=04
  src=2 addr=0x247 count=1986 changes=1 unique=1 last=04001dfc00400400
  src=0 addr=0x247 count=1986 changes=1 unique=1 last=04001dfc00400400
  src=0 addr=0x241 count=1985 changes=1 unique=1 last=0000000000000000
  src=0 addr=0x208 count=1985 changes=1985 unique=8 last=0a7e0092
  src=2 addr=0x406 count=1985 changes=795 unique=2 last=0000000000000000
  src=2 addr=0x720 count=1985 changes=1 unique=1 last=0000000000000000
  src=2 addr=0x318 count=1985 changes=199 unique=199 last=9a050d0d163b0000
  src=0 addr=0x318 count=1985 changes=199 unique=199 last=9a050d0d163b0000

Top CAN addresses by payload changes:
  src=4 addr=0x102 count=19836 changes=19283 unique=899 last=cf91fbfffcfffc1f
  src=6 addr=0x102 count=19836 changes=19283 unique=899 last=cf91fbfffcfffc1f
  src=0 addr=0x488 count=9925 changes=9925 unique=16 last=3fa60c7d
  src=2 addr=0x488 count=9925 changes=9925 unique=16 last=3fa60c7d
  src=2 addr=0x3FA count=4963 changes=4963 unique=32 last=a63f00000000f1d3
  src=0 addr=0x3FA count=4962 changes=4962 unique=32 last=a63f00000000f1d3
  src=2 addr=0x2B9 count=4962 changes=4962 unique=8 last=0000529f79eb3a4a
  src=0 addr=0x2B9 count=4961 changes=4961 unique=8 last=0000529f79eb3a4a
  src=4 addr=0x2BF count=4959 changes=4959 unique=8 last=0000529f79eb5a6a
  src=6 addr=0x2BF count=4959 changes=4959 unique=8 last=0000529f79eb5a6a
  src=2 addr=0x219 count=4958 changes=4958 unique=16 last=0e0029
  src=0 addr=0x219 count=4957 changes=4957 unique=16 last=0e0029
  src=0 addr=0x101 count=1986 changes=1986 unique=15 last=01d7da
  src=0 addr=0x239 count=1986 changes=1986 unique=1832 last=000f7172ff7df020
  src=0 addr=0x228 count=1986 changes=1986 unique=16 last=a0ca
  src=0 addr=0x348 count=1986 changes=1986 unique=16 last=c052000000000461
  src=0 addr=0x259 count=1986 changes=1986 unique=16 last=d300000810005096
  src=0 addr=0x208 count=1985 changes=1985 unique=8 last=0a7e0092
  src=2 addr=0x418 count=1985 changes=1985 unique=16 last=c0
  src=0 addr=0x418 count=1985 changes=1985 unique=16 last=c0
  src=2 addr=0x208 count=1985 changes=1985 unique=8 last=0a7e0092
  src=2 addr=0x101 count=1985 changes=1985 unique=15 last=01d7da
  src=2 addr=0x239 count=1985 changes=1985 unique=1831 last=000f7172ff7df020
  src=2 addr=0x228 count=1985 changes=1985 unique=16 last=a0ca
  src=2 addr=0x348 count=1985 changes=1985 unique=16 last=c052000000000461
  src=2 addr=0x259 count=1985 changes=1985 unique=16 last=d300000810005096
  src=4 addr=0x227 count=1985 changes=1985 unique=1659 last=54051a880a00ecd1
  src=6 addr=0x227 count=1985 changes=1985 unique=1659 last=54051a880a00ecd1
  src=4 addr=0x22B count=1985 changes=1985 unique=1531 last=3d055d890700ecd1
  src=6 addr=0x22B count=1985 changes=1985 unique=1531 last=3d055d890700ecd1
  src=6 addr=0x51E count=1984 changes=1984 unique=503 last=0600000000000000
  src=4 addr=0x71E count=1984 changes=1984 unique=37 last=0240388700000000
  src=6 addr=0x71E count=1984 changes=1984 unique=37 last=0240388700000000
  src=4 addr=0x408 count=1984 changes=1984 unique=16 last=70
  src=6 addr=0x408 count=1984 changes=1984 unique=16 last=70
  src=4 addr=0x229 count=1983 changes=1983 unique=1443 last=6c057c890600ecd1
  src=6 addr=0x229 count=1983 changes=1983 unique=1443 last=6c057c890600ecd1
  src=6 addr=0x76C count=1983 changes=1983 unique=186 last=0800060007002018
  src=4 addr=0x76C count=1983 changes=1983 unique=186 last=0800060007002018
  src=6 addr=0x2C8 count=1983 changes=1983 unique=32 last=6d8c0383252c40da
